hotel,review,title,rating,date,month,year
Sarova Whitesands Beach Resort & Spa,land country first lunch lido restaurant beside beach special thank claire warm welcome service beyond expectations definitely return keep good work,refresh getaway,5.0,2021-03-01,3,2021
Sarova Whitesands Beach Resort & Spa,high speed wifi myth complaints dismiss advise 267mbs 16mbs get suppose get place complaint friday saturday sunday without feedback front desk finally guy say never inform,meet expectations,3.0,2021-03-01,3,2021
Sarova Whitesands Beach Resort & Spa,thank white sand staff amaze stay delicious food property main stay kenyan coast last 2 decades set standards foe excellence family back last 7 years due international travel disappoint stay amaze variety food customise meals due health requirements staff make paradise home away home acknowledgements thank yous please pool karachi george asante sana smile tireless efforts make us get best look pool daily main pool couple people daily live love little tributes daily anecdotes company onlyout,relax spoil,4.0,2020-12-01,12,2020
Sarova Whitesands Beach Resort & Spa,travel family days together children pool face room spacious amaze pool area fantastic kid davis always present ready help ozone kid club good keep kid engage entertainedspecial thank swabrina fatuma titus among others meals buffet vast options meals great flipside one lady serve bite rude cleaners may also understaffed fantastic job albeit bite late day staff generally top notch doreen colleagues guard entrance mercy reception everyone make stay memorable overall experience amaze,fantastic stay,5.0,2021-02-01,2,2021
Sarova Whitesands Beach Resort & Spa,beautiful place despite fact covid19 measure strain enjoyments like serve buffet food okay room superb like double shower improvement shower soap would good also add entrance beach instead two end like stay would encourage people look classy enjoyable place visit place,five days stay sarova whitesands hotel,5.0,2021-02-01,2,2021
Sarova Lion Hill Game Lodge,everything wonderful sarova lion hill nakuru locate beautiful hillside overlook serene nakuru lake lovely stay park witness abundance wildlife big thank especially staff members go way make us feel home special thank nelson angela john wycliffe kennedy janet robert bernadette gideon geoffrey rest team hope see soon near future asante sana kind regard inneke johnny,best hospitality nakuru,5.0,2021-03-01,3,2021
Sarova Lion Hill Game Lodge,nice lodge particularly like nice swim pool restaurant offer nice view balcony service also good room spotless also mosquitos annoy insects staff prepare room night close mosquito net etc late afternoon,great stay nice location,5.0,2021-03-01,3,2021
Sarova Lion Hill Game Lodge,lodge exceed expectations offer outstanding service welcome care staff excellent food lake view heat pool advantage highly recommend sarova lion game lodge,excellent service,5.0,2021-03-01,3,2021
Sarova Lion Hill Game Lodge,wonderful service amaze ambience awesome experience sit even bonfire star gaze room well keep lush lawns breathtaking view lake nakuru park,,5.0,2021-03-01,3,2021
Sarova Lion Hill Game Lodge,room tad small outdated amaze service delicious food weekend entertainment make worth expansive grind beautifully manicure lawns view hotel absolutely breathtaking,view days,5.0,2020-05-01,5,2020
Sarova Stanley,although stanley past prime stay wonderful experience vety friendly attentive professional service good food first foremost formidable atmosphere historic surround long afternoon visit exchange bar old world jazzy atmosphere miss thai chi restaurant another highlight,wonderful old world charm,5.0,2021-03-01,3,2021
Sarova Stanley,new stanley historical icon british colonial era impeccably maintain clean beautiful love rooftop bar swim pool steve head concierge one go travel need walk encyclopedia pertinent information course thorn tree cafe chef make best pastries,kenyan bucket list hotel,5.0,2020-10-01,10,2020
